timestamp,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1742501700000,84271.72000000,84550.32000000,84247.83000000,84497.43000000,170.74709000,1742502599999,14421198.31968300,15880,112.72584000,9522289.17340350,0
1742502600000,84497.43000000,84581.69000000,84430.74000000,84547.54000000,94.07106000,1742503499999,7949804.62159200,11907,40.41039000,3415161.47154180,0
1742503500000,84547.54000000,84609.21000000,84500.00000000,84530.10000000,155.82874000,1742504399999,13174050.32090990,13463,49.28050000,4166400.92074620,0
1742504400000,84530.09000000,84601.89000000,84322.78000000,84336.95000000,97.81923000,1742505299999,8265528.29802230,13198,38.16430000,3225523.30407040,0
1742505300000,84336.96000000,84424.97000000,84250.67000000,84424.97000000,124.26808000,1742506199999,10474391.42285080,9361,85.10043000,7172305.62495160,0
1742506200000,84424.97000000,84576.90000000,84405.66000000,84475.44000000,104.74693000,1742507099999,8851020.80037030,18382,41.20578000,3481325.68286950,0
1742507100000,84475.44000000,84489.90000000,84304.34000000,84350.00000000,84.36430000,1742507999999,7117609.04480150,11718,50.61534000,4269784.45155490,0
1742508000000,84350.00000000,84500.00000000,84288.00000000,84311.79000000,84.34179000,1742508899999,7117210.94566540,24880,39.10351000,3299455.92323570,0
1742508900000,84311.80000000,84369.57000000,83980.58000000,84012.08000000,195.17201000,1742509799999,16424756.05187580,25909,42.41813000,3569988.26388510,0
1742509800000,84012.08000000,84159.51000000,84010.86000000,84124.80000000,119.11866000,1742510699999,10015045.29630940,17065,48.34209000,4064416.36359360,0
1742510700000,84124.80000000,84311.33000000,84095.51000000,84141.31000000,95.63752000,1742511599999,8052687.64527810,16787,60.86115000,5124372.61425350,0
1742511600000,84141.30000000,84150.00000000,84021.70000000,84045.49000000,97.86692000,1742512499999,8227337.53206610,17445,56.44868000,4744559.80307090,0
1742512500000,84045.50000000,84051.26000000,83922.01000000,84042.46000000,86.13987000,1742513399999,7234217.21688080,20093,37.78345000,3172981.94298870,0
1742513400000,84042.46000000,84208.45000000,84013.22000000,84195.26000000,98.33941000,1742514299999,8274404.07697970,17810,62.11300000,5226270.51372300,0
1742514300000,84195.26000000,84360.00000000,84165.64000000,84223.39000000,119.15238000,1742515199999,10038434.21143400,17545,65.76790000,5540624.29985270,0
1742515200000,84223.38000000,84475.00000000,84180.09000000,84432.12000000,106.83342000,1742516099999,9013950.23878600,18807,56.94679000,4804623.65924440,0
1742516100000,84432.11000000,84441.98000000,84264.33000000,84276.24000000,122.54329000,1742516999999,10335676.79211260,15755,59.42353000,5011737.60574140,0
1742517000000,84276.25000000,84468.09000000,84255.94000000,84434.79000000,63.20730000,1742517899999,5334340.70572230,15622,36.12027000,3048426.30049930,0
1742517900000,84434.78000000,84535.27000000,84422.00000000,84507.07000000,89.81591000,1742518799999,7588909.87339440,12797,39.69490000,3353712.38304870,0
1742518800000,84507.08000000,84579.04000000,84452.93000000,84554.36000000,74.68013000,1742519699999,6312253.74594480,12323,38.72729000,3273330.18293340,0
1742519700000,84554.36000000,84583.76000000,84383.59000000,84383.59000000,92.35883000,1742520599999,7801526.82507690,16480,35.18229000,2971988.31369130,0
1742520600000,84383.60000000,84572.97000000,84371.37000000,84567.52000000,53.15821000,1742521499999,4492980.50193500,14232,35.88924000,3033296.35074480,0
1742521500000,84567.53000000,84789.62000000,84518.53000000,84775.07000000,128.01536000,1742522399999,10843594.36297570,20795,87.80223000,7437391.19219000,0
1742522400000,84775.07000000,84850.33000000,84643.60000000,84653.06000000,95.77853000,1742523299999,8117835.05399710,17858,57.28553000,4856244.95984500,0
1742523300000,84653.06000000,84666.61000000,84520.67000000,84630.43000000,118.67990000,1742524199999,10041369.02414790,16822,49.40280000,4179876.15153960,0
1742524200000,84630.44000000,84644.00000000,84559.03000000,84560.01000000,56.18628000,1742525099999,4753498.56682340,10004,20.82969000,1762021.40281960,0
1742525100000,84560.00000000,84753.36000000,84540.38000000,84685.40000000,66.08054000,1742525999999,5595852.08832660,16626,40.12719000,3398076.59716570,0
1742526000000,84685.39000000,84731.21000000,84386.02000000,84422.75000000,127.12450000,1742526899999,10751852.33404410,18207,37.17086000,3145248.49582230,0
1742526900000,84422.75000000,84447.62000000,84270.25000000,84434.78000000,67.93884000,1742527799999,5730823.52332800,18518,21.42575000,1807732.78559900,0
1742527800000,84434.78000000,84474.67000000,84358.49000000,84450.91000000,75.69868000,1742528699999,6390778.70110980,16204,13.58301000,1146535.84009620,0
1742528700000,84450.92000000,84500.00000000,84427.99000000,84451.96000000,64.70396000,1742529599999,5465351.94940950,11854,28.39899000,2398814.94129240,0
1742529600000,84451.97000000,84641.51000000,84451.96000000,84614.17000000,90.99612000,1742530499999,7696293.91130250,18229,43.71825000,3696960.69200290,0
1742530500000,84614.17000000,84677.29000000,84553.53000000,84672.37000000,62.80798000,1742531399999,5314247.95985240,12988,18.79294000,1590458.10145570,0
1742531400000,84672.37000000,84772.00000000,84665.19000000,84728.26000000,95.48057000,1742532299999,8089636.75051990,13674,40.98422000,3472411.38165480,0
1742532300000,84728.27000000,84798.93000000,84642.14000000,84662.74000000,88.05512000,1742533199999,7461074.47337840,12131,27.90778000,2365095.84983130,0
1742533200000,84662.75000000,84672.88000000,84498.57000000,84532.61000000,91.22985000,1742534099999,7715609.38203020,15391,17.71064000,1497621.95318710,0
1742534100000,84532.62000000,84541.80000000,84425.56000000,84426.44000000,58.33547000,1742534999999,4929576.77104130,14457,26.13867000,2208829.71079070,0
1742535000000,84426.44000000,84529.06000000,84369.56000000,84402.18000000,47.15992000,1742535899999,3982198.30631500,15425,16.40066000,1384899.96570310,0
1742535900000,84402.17000000,84469.67000000,84336.95000000,84469.66000000,84.71753000,1742536799999,7148518.98763190,15949,21.41385000,1807300.24804110,0
1742536800000,84469.67000000,84476.31000000,84220.63000000,84233.10000000,164.57492000,1742537699999,13875420.76670810,22475,34.95247000,2947372.46620870,0
1742537700000,84233.11000000,84260.36000000,84017.53000000,84214.69000000,318.29989000,1742538599999,26789256.62235940,31226,59.44187000,5002386.97098200,0
1742538600000,84214.69000000,84292.06000000,84108.69000000,84221.94000000,206.82969000,1742539499999,17412314.18807720,19738,48.62105000,4093651.08651060,0
1742539500000,84221.95000000,84270.57000000,84100.90000000,84200.00000000,86.34969000,1742540399999,7268885.74945080,18969,41.88369000,3525954.90214250,0
1742540400000,84200.00000000,84269.71000000,84050.48000000,84156.24000000,75.49090000,1742541299999,6354095.98796220,22830,34.57923000,2910989.83737270,0
1742541300000,84156.24000000,84156.24000000,83950.73000000,84076.08000000,153.91665000,1742542199999,12932076.90513910,25078,53.32252000,4480125.44641120,0
1742542200000,84076.09000000,84076.09000000,83700.47000000,83794.17000000,281.74522000,1742543099999,23636882.05035630,25853,97.70335000,8194232.15286850,0
1742543100000,83794.17000000,83944.99000000,83755.77000000,83937.98000000,250.92428000,1742543999999,21044541.12370460,25156,128.87634000,10808403.62121170,0
1742544000000,83937.99000000,84156.00000000,83831.94000000,84119.59000000,104.04231000,1742544899999,8741389.55446580,20991,54.41633000,4571354.35891630,0
1742544900000,84119.59000000,84119.59000000,83808.01000000,83849.60000000,90.79534000,1742545799999,7618114.50119380,24136,32.74733000,2747065.60291450,0
1742545800000,83849.60000000,83994.84000000,83732.09000000,83867.22000000,143.94863000,1742546699999,12072316.95510200,27251,84.43076000,7080846.42166470,0
1742546700000,83867.23000000,84030.72000000,83824.00000000,84022.32000000,93.10037000,1742547599999,7814266.09154230,26463,47.43609000,3982091.04664820,0
1742547600000,84022.31000000,84024.00000000,83801.89000000,83953.13000000,73.69098000,1742548499999,6181946.51864220,23279,34.36856000,2883125.34429480,0
1742548500000,83953.13000000,84173.00000000,83903.07000000,84132.26000000,109.87211000,1742549399999,9235936.81498650,18303,78.81859000,6625587.41768570,0
1742549400000,84132.27000000,84337.66000000,84100.31000000,84217.30000000,114.83856000,1742550299999,9672910.40666030,24285,68.28094000,5751893.28809580,0
1742550300000,84217.30000000,84254.15000000,84069.70000000,84137.99000000,121.58183000,1742551199999,10229367.90314280,20331,37.11615000,3122906.12096570,0
1742551200000,84137.99000000,84247.60000000,84130.44000000,84239.57000000,66.97983000,1742552099999,5639603.53002650,16023,34.12940000,2873703.20578360,0
1742552100000,84239.57000000,84286.63000000,84008.18000000,84040.10000000,87.03799000,1742552999999,7319846.87001400,21709,31.87010000,2680355.76245930,0
1742553000000,84040.10000000,84109.69000000,83892.82000000,84076.09000000,104.25596000,1742553899999,8757853.13884560,24172,50.93909000,4279373.68492070,0
1742553900000,84076.09000000,84200.86000000,84075.47000000,84164.17000000,62.58359000,1742554799999,5267287.43027740,17028,35.33100000,2973526.71869130,0
1742554800000,84164.18000000,84173.92000000,84028.30000000,84053.67000000,67.13296000,1742555699999,5645145.31916860,16078,17.79615000,1496461.68637360,0
1742555700000,84053.67000000,84103.17000000,83961.00000000,83961.01000000,72.26970000,1742556599999,6072524.85364560,14426,19.29460000,1621195.94641900,0
1742556600000,83961.00000000,84074.22000000,83941.92000000,84039.31000000,91.62482000,1742557499999,7695562.20532140,18178,47.72231000,4008403.57312450,0
1742557500000,84039.32000000,84138.61000000,84028.25000000,84046.52000000,82.67017000,1742558399999,6951571.10381020,21062,34.95901000,2939636.26107590,0
1742558400000,84046.52000000,84264.16000000,84020.50000000,84191.75000000,106.23130000,1742559299999,8939952.01121810,28891,61.28975000,5157690.70759260,0
1742559300000,84191.75000000,84358.51000000,84160.36000000,84260.76000000,123.14194000,1742560199999,10376465.12316840,22490,60.49311000,5097449.31977020,0
1742560200000,84260.76000000,84283.18000000,83700.00000000,83792.46000000,245.15692000,1742561099999,20572078.97452610,34469,97.29272000,8157851.29812370,0
1742561100000,83792.46000000,83907.99000000,83377.95000000,83467.98000000,450.48072000,1742561999999,37657305.44305270,50274,165.44204000,13834964.22605090,0
1742562000000,83467.98000000,83722.80000000,83391.30000000,83629.02000000,244.52304000,1742562899999,20428440.23740870,47481,128.65910000,10749832.14311800,0
1742562900000,83629.01000000,83792.46000000,83525.26000000,83700.67000000,126.94128000,1742563799999,10620703.90718710,36623,72.84362000,6094722.93722940,0
1742563800000,83700.72000000,83880.44000000,83175.25000000,83786.58000000,448.33083000,1742564699999,37422013.66124860,91500,229.95359000,19198306.96054920,0
1742564700000,83786.58000000,84101.28000000,83712.00000000,83935.70000000,343.56192000,1742565599999,28835393.46978370,72474,201.69247000,16928576.02837790,0
1742565600000,83935.71000000,84003.02000000,83509.31000000,83762.42000000,273.85285000,1742566499999,22931769.68185610,67757,112.68099000,9437088.24036990,0
1742566500000,83762.41000000,84290.27000000,83684.78000000,84084.49000000,264.78150000,1742567399999,22251724.73314360,63166,128.55767000,10807232.34120100,0
1742567400000,84084.49000000,84288.00000000,83952.00000000,84081.08000000,125.77482000,1742568299999,10577894.65644660,50685,56.35877000,4739218.46578420,0
1742568300000,84081.09000000,84242.28000000,83914.60000000,84240.33000000,157.49372000,1742569199999,13250272.36060940,40124,70.11143000,5897462.01107330,0
1742569200000,84240.33000000,84271.74000000,83815.21000000,83820.62000000,152.79593000,1742570099999,12843669.55201580,43485,62.58382000,5262769.80002710,0
1742570100000,83820.62000000,83925.39000000,83728.20000000,83750.00000000,118.24453000,1742570999999,9910381.88387120,46935,57.63850000,4831182.59640090,0
1742571000000,83750.01000000,83962.17000000,83581.07000000,83645.99000000,157.72210000,1742571899999,13210138.44453900,40656,72.48376000,6071962.80070130,0
1742571900000,83646.00000000,83782.61000000,83559.82000000,83565.48000000,134.81545000,1742572799999,11278912.57910510,40758,69.48267000,5813672.85342880,0
1742572800000,83565.47000000,83846.60000000,83379.00000000,83815.10000000,279.25788000,1742573699999,23330513.28341640,47912,146.65870000,12254834.36524150,0
1742573700000,83815.09000000,84027.70000000,83639.99000000,83939.18000000,245.76265000,1742574599999,20596290.29446580,46663,137.39975000,11514643.29309520,0
1742574600000,83939.17000000,84086.13000000,83783.07000000,83836.75000000,110.89555000,1742575499999,9309040.72371990,37214,43.38247000,3641571.42556480,0
1742575500000,83836.75000000,84140.78000000,83836.75000000,84095.97000000,118.09525000,1742576399999,9921130.79045890,30473,55.65171000,4676572.30112190,0
