timestamp,open,high,low,close,volume
2026-03-10 10:00:00,71078.92,71086.86,70853.03,70899.99,262.19441
2026-03-10 10:15:00,70899.99,70931.37,70738.99,70759.73,781.27918
2026-03-10 10:30:00,70759.72,70941.42,70675.91,70715.89,575.3257
2026-03-10 10:45:00,70715.89,70878.54,70660.89,70774.04,189.26218
2026-03-10 11:00:00,70774.04,70865.73,70607.4,70618.08,216.72241
2026-03-10 11:15:00,70618.08,70750.0,70563.33,70654.51,120.93671
2026-03-10 11:30:00,70654.51,70664.2,70540.4,70589.01,265.01396
2026-03-10 11:45:00,70589.01,70693.76,70542.06,70580.94,342.75148
2026-03-10 12:00:00,70580.95,70628.19,70354.38,70422.24,328.09318
2026-03-10 12:15:00,70422.24,70558.7,70355.15,70384.41,113.19519
2026-03-10 12:30:00,70384.4,70475.49,70290.88,70447.59,137.3246
2026-03-10 12:45:00,70447.59,70580.0,70446.0,70519.86,124.34182
2026-03-10 13:00:00,70519.86,70753.72,70519.86,70753.72,159.61312
2026-03-10 13:15:00,70753.72,70900.0,70662.05,70874.96,275.76204
2026-03-10 13:30:00,70874.96,70926.46,69723.25,69916.54,825.96294
2026-03-10 13:45:00,69916.54,70296.07,69790.29,69921.12,383.20906
2026-03-10 14:00:00,69921.12,70150.1,69421.41,69482.0,747.10432
2026-03-10 14:15:00,69482.0,69925.39,69266.06,69799.3,458.61385
2026-03-10 14:30:00,69799.3,70483.49,69791.2,70457.31,343.3712
2026-03-10 14:45:00,70457.31,71527.54,70392.0,71467.81,1004.64018
2026-03-10 15:00:00,71467.81,71777.0,71086.85,71198.89,775.78708
2026-03-10 15:15:00,71198.88,71454.81,70975.56,71348.01,375.96887
2026-03-10 15:30:00,71348.01,71625.83,70964.7,71119.17,504.19447
2026-03-10 15:45:00,71119.17,71381.33,70900.05,71346.16,442.92556
2026-03-10 16:00:00,71346.17,71424.0,70943.31,71145.98,332.09635
2026-03-10 16:15:00,71145.98,71700.0,71133.95,71364.42,451.88494
2026-03-10 16:30:00,71364.7,71448.45,71192.48,71382.63,288.53436
2026-03-10 16:45:00,71382.62,71391.95,71147.37,71268.59,218.82489
2026-03-10 17:00:00,71268.58,71452.0,71204.0,71258.1,211.92472
2026-03-10 17:15:00,71258.1,71366.01,70993.45,71046.31,342.01933
2026-03-10 17:30:00,71046.31,71234.29,70512.64,70688.65,571.10518
2026-03-10 17:45:00,70688.64,70966.56,70557.87,70868.61,258.58027
2026-03-10 18:00:00,70868.62,70914.9,70364.73,70373.64,225.6937
2026-03-10 18:15:00,70373.63,70581.16,70133.34,70318.02,484.63198
2026-03-10 18:30:00,70318.02,70450.86,69984.0,70063.27,757.30387
2026-03-10 18:45:00,70063.27,70227.52,69901.0,70013.87,369.77214
2026-03-10 19:00:00,70013.87,70172.92,69872.68,70068.14,233.78109
2026-03-10 19:15:00,70068.14,70290.0,69910.04,69973.93,240.59775
2026-03-10 19:30:00,69973.92,70105.75,69739.0,69990.2,206.01597
2026-03-10 19:45:00,69990.21,70083.2,69951.33,70043.63,312.21288
2026-03-10 20:00:00,70043.63,70250.0,70007.52,70112.68,167.47927
2026-03-10 20:15:00,70112.67,70270.71,70007.82,70251.2,74.87966
2026-03-10 20:30:00,70251.2,70350.0,70213.94,70307.83,161.85531
2026-03-10 20:45:00,70307.82,70311.3,70209.92,70235.6,267.67547
2026-03-10 21:00:00,70236.34,70417.3,70073.92,70097.6,127.32225
2026-03-10 21:15:00,70097.61,70171.56,69924.12,69941.48,187.83553
2026-03-10 21:30:00,69941.48,70048.62,69600.0,69746.41,345.79419
