timestamp,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1765038600000,89882.47000000,89927.02000000,89800.00000000,89824.49000000,111.44211000,1765039499999,10012463.52975500,30289,68.76409000,6177629.09487060,0
1765039500000,89824.48000000,89831.73000000,89680.34000000,89707.80000000,42.58901000,1765040399999,3821904.38693100,20872,20.31065000,1822323.96337610,0
1765040400000,89707.80000000,89780.75000000,89626.21000000,89698.76000000,77.88237000,1765041299999,6985932.63135970,33384,45.58764000,4088994.18763460,0
1765041300000,89698.75000000,89846.98000000,89633.14000000,89844.48000000,96.56015000,1765042199999,8663978.92729970,20862,70.81074000,6354911.07788780,0
1765042200000,89844.47000000,89844.47000000,89653.01000000,89663.85000000,83.93768000,1765043099999,7529960.42322800,21216,43.46365000,3898784.16835790,0
1765043100000,89663.84000000,89715.70000000,89615.38000000,89712.85000000,52.40593000,1765043999999,4698835.34651410,13640,38.62514000,3463171.90878450,0
1765044000000,89712.85000000,89766.14000000,89627.78000000,89766.14000000,45.14179000,1765044899999,4048564.23185550,16528,32.37010000,2903371.85335320,0
1765044900000,89766.14000000,89787.99000000,89699.16000000,89761.53000000,40.91046000,1765045799999,3671349.34667330,15189,24.43399000,2192606.00584200,0
1765045800000,89761.52000000,89761.53000000,89640.43000000,89640.43000000,47.34519000,1765046699999,4247229.58832610,19236,27.79416000,2493197.63233750,0
1765046700000,89640.44000000,89646.72000000,89529.90000000,89646.71000000,46.77290000,1765047599999,4190846.40198320,21655,30.47174000,2730215.01889800,0
1765047600000,89646.70000000,89744.62000000,89333.33000000,89487.20000000,171.03463000,1765048499999,15313361.32201720,42155,78.98706000,7069967.89410080,0
1765048500000,89487.21000000,89572.56000000,89380.00000000,89554.00000000,75.50111000,1765049399999,6756772.15853040,23452,34.48467000,3085968.27546480,0
1765049400000,89554.09000000,89559.73000000,89077.60000000,89432.69000000,413.39272000,1765050299999,36909943.67981970,47660,121.33539000,10829050.43976360,0
1765050300000,89432.70000000,89470.94000000,89360.00000000,89405.64000000,28.23570000,1765051199999,2524681.04182400,14221,12.61500000,1127878.75212450,0
1765051200000,89405.65000000,89498.40000000,89311.99000000,89392.44000000,45.79206000,1765052099999,4094190.25298890,28024,17.17192000,1535493.73956840,0
1765052100000,89392.43000000,89448.63000000,89374.42000000,89448.62000000,17.82084000,1765052999999,1593588.25412940,9838,7.61703000,681085.03442860,0
1765053000000,89448.63000000,89553.82000000,89430.62000000,89539.09000000,36.82689000,1765053899999,3296181.22615290,21625,18.52051000,1657673.40138530,0
1765053900000,89539.10000000,89549.76000000,89504.93000000,89548.88000000,35.15180000,1765054799999,3147397.65462850,12363,18.65974000,1670827.63519970,0
1765054800000,89548.88000000,89615.34000000,89475.52000000,89488.24000000,95.92634000,1765055699999,8588973.37162880,37947,45.29179000,4055453.55773580,0
1765055700000,89488.24000000,89511.75000000,89390.01000000,89432.00000000,50.98066000,1765056599999,4559965.72023620,21640,16.61434000,1486016.11551990,0
1765056600000,89432.00000000,89569.07000000,89403.76000000,89466.75000000,47.03002000,1765057499999,4207567.44722360,17955,18.67976000,1671171.58535480,0
1765057500000,89466.76000000,89496.41000000,89415.24000000,89420.28000000,23.89324000,1765058399999,2137182.81693200,15011,7.06930000,632355.45924160,0
1765058400000,89420.29000000,89500.00000000,89295.66000000,89500.00000000,35.95882000,1765059299999,3213532.04730820,15628,18.03895000,1612255.07387110,0
1765059300000,89500.00000000,89523.37000000,89350.00000000,89350.01000000,44.71991000,1765060199999,4000138.59526100,20267,22.54328000,2016406.15945220,0
1765060200000,89350.00000000,89431.88000000,89342.96000000,89342.97000000,37.47011000,1765061099999,3349890.63962030,12537,12.80367000,1144494.34746290,0
1765061100000,89342.96000000,89358.60000000,89257.48000000,89285.94000000,47.21650000,1765061999999,4216689.26416280,23735,16.60433000,1482655.09834010,0
1765062000000,89285.93000000,89329.38000000,89001.00000000,89171.92000000,270.53239000,1765062899999,24113361.88102470,48786,65.32722000,5821494.95596460,0
1765062900000,89171.92000000,89213.38000000,88908.01000000,89013.99000000,167.63902000,1765063799999,14924686.77434430,40571,61.00423000,5430414.49651340,0
1765063800000,89013.99000000,89180.00000000,89001.43000000,89097.99000000,47.26298000,1765064699999,4210232.79261610,26617,21.23984000,1892021.79298130,0
1765064700000,89097.99000000,89264.36000000,89089.53000000,89236.79000000,64.34025000,1765065599999,5739908.03214480,24153,36.49525000,3256028.91421860,0
1765065600000,89236.80000000,89383.46000000,89176.52000000,89184.00000000,69.34099000,1765066499999,6190953.61579850,30457,47.25655000,4219253.75382130,0
1765066500000,89184.00000000,89367.18000000,89181.29000000,89351.65000000,38.37598000,1765067399999,3426314.20335010,29793,23.71172000,2116990.11595010,0
1765067400000,89351.65000000,89553.82000000,89346.49000000,89506.00000000,58.05506000,1765068299999,5194212.49102850,26034,37.98426000,3398196.46402020,0
